sport,level,section,date,time,home_away,matchup,opponent,location,league,score,result,status
Boys Water Polo,Varsity,upcoming,2026-09-08,6:30 PM,Away,at Saratoga,Saratoga,Saratoga,League,,,
Boys Water Polo,JV,upcoming,2026-09-08,7:45 PM,Away,at Saratoga,Saratoga,Saratoga,League,,,
Boys Water Polo,Varsity,upcoming,2026-09-10,5:15 PM,Home,vs Santa Clara,Santa Clara,Fremont Pool,League,,,
Boys Water Polo,JV,upcoming,2026-09-10,4:15 PM,Home,vs Santa Clara,Santa Clara,Fremont Pool,League,,,
Boys Water Polo,Varsity,upcoming,2026-09-15,6:30 PM,Away,at Lynbrook,Lynbrook,Lynbrook,League,,,
Boys Water Polo,JV,upcoming,2026-09-15,7:45 PM,Away,at Lynbrook,Lynbrook,Lynbrook,League,,,
Boys Water Polo,Varsity,upcoming,2026-09-17,5:15 PM,Home,vs Cupertino,Cupertino,Fremont Pool,League,,,
Boys Water Polo,JV,upcoming,2026-09-17,4:15 PM,Home,vs Cupertino,Cupertino,Fremont Pool,League,,,
Boys Water Polo,Varsity,upcoming,2026-09-19,11:30 AM,Home,vs American,American,Fremont Pool,Non-league,,,
Boys Water Polo,JV,upcoming,2026-09-19,10:15 AM,Home,vs American,American,Fremont Pool,Non-league,,,
Boys Water Polo,Varsity,upcoming,2026-09-22,6:00 PM,Away,at Wilcox,Wilcox,Wilcox,League,,,
Boys Water Polo,JV,upcoming,2026-09-22,5:00 PM,Away,at Wilcox,Wilcox,Wilcox,League,,,
Cross Country,JV/Varsity,upcoming,2026-09-02,5:15 PM,Away,at opponent,,Baylands Park,Non-league,,,
Cross Country,JV/Varsity,upcoming,2026-09-08,3:30 PM,Home,vs opponent,,Fremont Track,Non-league,,,
Cross Country,JV/Varsity,upcoming,2026-09-19,8:00 AM,Away,at opponent,,Hayward HS,Non-league,,,
Field Hockey,JV,result,2026-08-28,,Away,at Cupertino,Cupertino,,Non-league,Scrimmage,NO SCORE,
Field Hockey,Varsity,result,2026-08-28,,Away,at Cupertino,Cupertino,,Non-league,Scrimmage,NO SCORE,
Field Hockey,JV,result,2026-08-27,,Home,vs Santa Clara,Santa Clara,,Non-league,Scrimmage,NO SCORE,
Field Hockey,Varsity,result,2026-08-27,,Home,vs Santa Clara,Santa Clara,,Non-league,Scrimmage,NO SCORE,
Field Hockey,Varsity,upcoming,2026-09-03,4:00 PM,Away,at Presentation,Presentation,Presentation,Non-league,,,
Field Hockey,JV,upcoming,2026-09-09,5:15 PM,Home,vs St. Francis,St. Francis,Fremont Soccer Field,League,,,
Field Hockey,Varsity,upcoming,2026-09-09,4:00 PM,Home,vs St. Francis,St. Francis,Fremont Soccer Field,League,,,
Field Hockey,JV,upcoming,2026-09-11,5:15 PM,Away,at Lynbrook,Lynbrook,Lynbrook,Non-league,,,
Field Hockey,Varsity,upcoming,2026-09-11,4:00 PM,Away,at Lynbrook,Lynbrook,Lynbrook,Non-league,,,
Field Hockey,JV,upcoming,2026-09-14,5:15 PM,Home,vs Valley Christian,Valley Christian,Fremont Soccer Field,League,,,
Field Hockey,Varsity,upcoming,2026-09-14,4:00 PM,Home,vs Valley Christian,Valley Christian,Fremont Soccer Field,League,,,
Field Hockey,JV,upcoming,2026-09-16,5:15 PM,Away,at Cupertino,Cupertino,Cupertino,League,,,
Field Hockey,Varsity,upcoming,2026-09-16,4:00 PM,Away,at Cupertino,Cupertino,Cupertino,League,,,
